id,pos_x,pos_y,pos_z,time_elapsed
77125a5c-e460-4552-9da7-4534bbccf53c,0.2,0.0,0.0,0
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0
77125a5c-e460-4552-9da7-4534bbccf53c,0.4,0.0,0.0,0.1
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.1
77125a5c-e460-4552-9da7-4534bbccf53c,0.6000000000000001,0.0,0.0,0.2
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.2
77125a5c-e460-4552-9da7-4534bbccf53c,0.8,0.0,0.0,0.30000000000000004
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.30000000000000004
77125a5c-e460-4552-9da7-4534bbccf53c,1.0,0.0,0.0,0.4
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.4
77125a5c-e460-4552-9da7-4534bbccf53c,1.2,0.0,0.0,0.5
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.5
77125a5c-e460-4552-9da7-4534bbccf53c,1.4,0.0,0.0,0.6
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.6
77125a5c-e460-4552-9da7-4534bbccf53c,1.5999999999999999,0.0,0.0,0.7
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.7
77125a5c-e460-4552-9da7-4534bbccf53c,1.7999999999999998,0.0,0.0,0.7999999999999999
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.7999999999999999
77125a5c-e460-4552-9da7-4534bbccf53c,1.9999999999999998,0.0,0.0,0.8999999999999999
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.8999999999999999
77125a5c-e460-4552-9da7-4534bbccf53c,2.1999999999999997,0.0,0.0,0.9999999999999999
796ad3b4-fe66-49d0-9f92-f5d2e7f7986c,1.0,0.0,-1.0,0.9999999999999999
